longitude,latitude,radius,county,risk_category
-118.55257399999999,34.21498,142,Los Angeles,2
-118.971944,37.648610999999995,143,Mono,2
-118.42440400000001,34.11298,144,Los Angeles,2
-122.031944,37.323056,144,Santa Clara,2
-122.582477,38.581757,144,Napa,2
-118.24096899999999,34.06146,145,Los Angeles,2
-118.84465,34.161583,146,Ventura,2
-119.25131,34.457121,146,Ventura,2
-120.79861100000001,38.729721999999995,146,El Dorado,2
-122.826944,38.399167,147,Sonoma,2
-122.570457,38.106956,147,Marin,2
-116.289175,33.742799,147,Riverside,2
-122.27106,37.497516,147,San Mateo,2
-118.531425,34.046284,148,Los Angeles,2
-118.414497,33.979496000000005,148,Los Angeles,2
-120.695278,35.751389,149,San Luis Obispo,2
-118.971944,37.648610999999995,150,Mono,2
-115.927222,33.512778000000004,152,Riverside,2
-114.809269,32.900519,153,Imperial,2
-118.34230500000001,34.042790999999994,154,Los Angeles,2
-122.11805600000001,37.885833,155,Contra Costa,2
-121.78944399999999,36.940556,158,Santa Cruz,2
-122.290029,37.517802,160,San Mateo,2
-115.585871,33.065678000000005,160,Imperial,2
-118.348359,33.995554999999996,161,Los Angeles,2
-122.410852,37.804532,161,San Francisco,2
-120.829167,38.191666999999995,162,Calaveras,2
-121.06166499999999,39.221639,163,Nevada,2
-117.095906,33.979146,164,Riverside,2
-122.535352,37.933963,165,Marin,2
-120.987222,38.668889,167,El Dorado,2
-120.86694399999999,37.603056,169,Stanislaus,2
-118.046139,33.846322,169,Orange,2
-120.987222,38.668889,170,El Dorado,2
-120.62142800000001,35.121574,170,San Luis Obispo,2
-117.99328899999999,34.12409,170,Los Angeles,2
-118.434197,34.454977,172,Los Angeles,2
-121.887925,37.717269,172,Alameda,2
-118.33499199999999,33.888441,175,Los Angeles,2
-119.70872800000001,36.315187,175,Kings,2
-119.040833,35.96138900000001,181,Tulare,2
-120.09736799999999,34.584154,181,Santa Barbara,2
-122.441473,37.745915999999994,181,San Francisco,2
-116.18320700000001,33.565881,183,Imperial,2
-117.09088500000001,33.226252,183,San Diego,2
-122.96621,39.04584000000001,185,Lake,2
-122.15611100000001,38.063333,186,Solano,2
-117.654344,33.550805,186,Orange,2
-119.224883,36.399684,187,Tulare,2
-117.937941,34.572624,188,Los Angeles,2
-122.486066,37.745399,190,San Francisco,2
-121.66,39.275833,193,Sutter,2
-118.394492,34.044746999999994,193,Los Angeles,2
-116.14223500000001,33.640264,193,Riverside,2
-118.200156,34.209689000000004,194,Los Angeles,2
-118.607267,34.376825,195,Los Angeles,2
-120.20361100000001,39.342222,202,Nevada,2
