name,x,y,county,ordinal_cat,COVID-19 danger
76,-122.240702,37.7362794,Alameda,3,Medium Risk
76,-122.0064486,37.5270075,Alameda,3,Medium Risk
Unknown Name,-118.3299088,34.1611268,Los Angeles,3,Medium Risk
Unknown Name,-121.95020929999998,37.297537,Santa Clara,3,Medium Risk
Unknown Name,-121.95059520000001,37.3012149,Santa Clara,3,Medium Risk
76,-118.13480020000002,34.0791597,Los Angeles,3,Medium Risk
Unknown Name,-121.32089760000001,38.0106491,San Joaquin,3,Medium Risk
Scotts Valley Gas & Mart,-122.0259645,37.043669,Santa Cruz,2,Mild Risk
Kensington Service Station,-122.278244,37.903172999999995,Alameda,3,Medium Risk
Shell,-122.00605,37.062937299999994,Santa Cruz,2,Mild Risk
Chevron,-122.00509939999999,37.0627785,Santa Cruz,2,Mild Risk
Valero,-122.06918329999999,37.0514394,Santa Cruz,2,Mild Risk
76,-121.97707949999999,37.2862899,Santa Clara,3,Medium Risk
Shell,-121.9770709,37.2857163,Santa Clara,3,Medium Risk
Mobil,-117.57504820000001,34.110954799999995,San Bernardino,3,Medium Risk
Haven 76 Tire & Service Center,-117.57537450000001,34.1375491,San Bernardino,3,Medium Risk
Haven Mobil,-117.57638999999999,34.139594200000005,San Bernardino,3,Medium Risk
Shell,-122.0658412,37.59788270000001,Alameda,3,Medium Risk
Patriot Gasoline,-124.08907169999999,40.8714601,Del Norte,2,Mild Risk
76,-124.0915993,40.8823701,Del Norte,2,Mild Risk
Arco,-117.2643781,33.0683306,San Diego,3,Medium Risk
Shell,-117.26461509999999,33.0672432,San Diego,3,Medium Risk
Unknown Name,-121.7276129,36.5782687,Monterey,3,Medium Risk
Beacon,-121.6647894,36.6453806,Monterey,3,Medium Risk
Chevron,-121.66662859999998,36.7008158,Monterey,3,Medium Risk
AMPM,-121.6647317,36.7215405,Monterey,3,Medium Risk
Chevron,-122.4909243,37.645911299999995,San Mateo,1,Low Risk
Unknown Name,-120.1281314,34.5991685,Santa Barbara,2,Mild Risk
Brown's Corner Fuel,-123.3451834,39.3880889,Lake,1,Low Risk
Chevron,-123.48039309999999,39.6861691,Mendocino,2,Mild Risk
Chevron,-122.07360359999998,37.05330220000001,Santa Cruz,2,Mild Risk
Corner Stone,-122.0731142,37.0531605,Santa Cruz,2,Mild Risk
Chevron,-118.0188739,34.15096079999999,Los Angeles,3,Medium Risk
Unknown Name,-118.9667338,37.6483438,Mono,1,Low Risk
Mobil,-122.41619399999999,37.748534,San Francisco,2,Mild Risk
Chevron,-123.80579270000001,39.4305121,Mendocino,2,Mild Risk
Unknown Name,-121.170948,39.2020385,Nevada,0,
Shell,-118.3675892,34.2212475,Los Angeles,3,Medium Risk
76,-118.158332,34.0159862,Los Angeles,3,Medium Risk
Unknown Name,-117.3610794,34.192142600000004,San Bernardino,1,Low Risk
Unknown Name,-118.06398529999998,33.9894323,Los Angeles,3,Medium Risk
Unknown Name,-118.0671935,33.991730700000005,Los Angeles,3,Medium Risk
Quik Stop,-122.0094977,37.059123799999995,Santa Cruz,2,Mild Risk
Valero,-122.01005520000001,37.0593911,Santa Cruz,2,Mild Risk
Ralph's Gas,-117.23374150000001,33.571271,Riverside,3,Medium Risk
Chevron,-117.20784270000001,33.563282799999996,Riverside,3,Medium Risk
Chevron,-117.98859809999999,33.942150299999994,Los Angeles,3,Medium Risk
Unknown Name,-117.9326775,33.938810100000005,Los Angeles,3,Medium Risk
76,-124.17665840000001,40.793909899999996,Del Norte,2,Mild Risk
Chevron,-124.1839825,40.7829689,Del Norte,2,Mild Risk
Patriot Gasoline,-124.1533504,40.8050278,Del Norte,2,Mild Risk
Unknown Name,-117.58525829999999,34.0987791,San Bernardino,3,Medium Risk
Unknown Name,-121.99620060000001,37.3963856,Santa Clara,3,Medium Risk
Gas 4 Less,-124.0877294,40.8900821,Del Norte,2,Mild Risk
Patriot Gasoline,-124.08328519999999,40.904852399999996,Del Norte,2,Mild Risk
Unknown Name,-121.7858993,38.5603732,Yolo,2,Mild Risk
Unknown Name,-118.0380973,34.0358721,Los Angeles,3,Medium Risk
Unknown Name,-118.0381327,34.0366255,Los Angeles,3,Medium Risk
Chevron,-122.0005615,37.5329294,Alameda,3,Medium Risk
Valero,-121.99868020000001,37.5369734,Alameda,3,Medium Risk
Chevron,-118.455284,35.7076899,Kern,0,
Unknown Name,-117.4034719,34.2238888,San Bernardino,1,Low Risk
Unknown Name,-117.402612,34.2240862,San Bernardino,1,Low Risk
7-Eleven,-117.3604452,34.1916076,San Bernardino,1,Low Risk
Chevron,-122.06432240000002,39.0243402,Napa,0,
Texaco,-118.45475400000001,35.70836,Kern,0,
Unknown Name,-121.9599259,37.360669200000004,Santa Clara,3,Medium Risk
Unknown Name,-121.96207,37.3618545,Santa Clara,3,Medium Risk
Arco,-121.9592038,37.355987400000004,Santa Clara,3,Medium Risk
Unknown Name,-117.2025748,34.046303,San Bernardino,3,Medium Risk
Flyers,-122.170651,37.7093073,Alameda,3,Medium Risk
