date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat,alpha
2020-10-25,Contra Costa,13.0,Bethel Island,14,,-121.640556,38.015,2.6390573296152584,1,1,194.1948129448079
2020-08-25,Mono,51.0,North & Central,14,,-119.00931200000001,38.016591,2.6390573296152584,1,1,26.964644833652116
2020-10-23,Sonoma,97.0,Fulton,14,,-122.77,38.496389,2.6390573296152584,1,1,276.9791879094807
2020-10-25,San Bernardino,71.0,Trona,14,,-117.382778,35.765278,2.6390573296152584,1,1,23.616529674541052
2020-06-23,Calaveras,9.0,Valley Springs,14,,-120.829167,38.191666999999995,2.6390573296152584,1,1,50.93415123618729
2020-10-25,Los Angeles,37.0,Unincorporated - Glendora,14,,-117.84888799999999,34.15532,2.6390573296152584,1,1,889.6557655348736
2020-10-23,Nevada,57.0,96160,14,,-120.18043999999999,39.329874,2.6390573296152584,1,1,245.1531641915666
2020-10-25,San Bernardino,71.0,Yermo,14,,-116.820278,34.905,2.6390573296152584,1,1,44.83608912111843
2020-10-25,Los Angeles,37.0,Twin Lakes/Oat Mountain,15,,-118.61063700000001,34.31406,2.7080502011022096,1,1,292.65539398183626
2020-05-25,Marin,41.0,San Anselmo and Fairfax,15,,-122.56166699999999,37.974722,2.7080502011022096,1,1,14699.989168902366
2020-10-25,Los Angeles,37.0,Southeast Antelope Valley,15,,-118.03253600000001,34.526511,2.7080502011022096,1,1,146.90354673094518
2020-10-25,Los Angeles,37.0,Roosevelt,15,,-117.961701,34.733315000000005,2.7080502011022096,1,1,71.8979642044457
2020-08-17,Long Beach,,90755: Long Beach,15,,-118.168691,33.801783,2.7080502011022096,1,1,5833.287536493943
2020-10-25,Kern,29.0,93243: Lebec,15,,-118.93448899999999,34.840174,2.7080502011022096,1,1,156.4194732297098
2020-10-25,Los Angeles,37.0,Hidden Hills,15,,-118.661203,34.163748999999996,2.7080502011022096,1,1,312.05294424318976
2020-05-06,Kern,29.0,Tehachapi,15,,-118.448889,35.132222,2.7080502011022096,1,1,2132.1360589887136
2020-10-23,Fresno,19.0,Five Points,15,,-120.10244099999998,36.428874,2.7080502011022096,1,1,69.6224679386717
2020-05-06,Kern,29.0,Rosamond,15,,-118.16333300000001,34.864167,2.7080502011022096,1,1,152.10019812116462
2020-10-23,Marin,41.0,San Quentin,15,,-122.487025,37.942256,2.7080502011022096,1,1,391.670501926797
2020-10-25,Kern,29.0,93285: Wofford Heights,16,,-118.51166299999998,35.710558,2.772588722239781,1,1,175.2629165907806
2020-10-25,San Diego,73.0,Julian,16,,-116.58555600000001,33.070833,2.772588722239781,1,1,49.2570722632771
2020-10-25,San Bernardino,71.0,Lytle Creek,16,,-117.49916699999999,34.259167,2.772588722239781,1,1,28.252468529605803
2020-10-25,Los Angeles,37.0,Unincorporated - Pomona,16,,-117.82055700000001,34.056470000000004,2.772588722239781,1,1,288.38702647066276
2020-10-25,San Bernardino,71.0,Blue Jay,16,,-117.21686299999999,34.244027,2.772588722239781,1,1,357.016308139988
2020-10-25,Plumas,63.0,Western area,16,,-121.23472199999999,40.3025,2.772588722239781,1,1,6.727057359677954
2020-10-23,San Francisco,75.0,94111,16,,-122.39840900000002,37.79937,2.772588722239781,1,1,781.2817325583774
2020-10-23,Amador,5.0,Plymouth & surrounding unincorporated areas,17,,-120.84472199999999,38.481944,2.8332133440562166,1,1,91.40573913100867
2020-10-25,Kern,29.0,93523: Edwards,17,,-117.862804,34.971263,2.8332133440562166,1,1,30.365258346316104
2020-10-23,San Luis Obispo,79.0,Cayucos,17,,-120.893611,35.438333,2.8332133440562166,1,1,102.68060304925115
2020-05-08,San Luis Obispo,79.0,San Luis Obispo,17,,-120.65961599999999,35.282752,2.8332133440562166,1,1,276.4595380291365
2020-10-22,Siskiyou,93.0,West County,17,,-122.90840700000001,41.336228999999996,2.8332133440562166,1,1,17.888587562130965
2020-10-23,Riverside,65.0,Anza,17,,-116.638908,33.549092,2.8332133440562166,1,1,55.849477564140926
2020-10-23,Lake,33.0,95485,17,,-122.92033,39.216,2.8332133440562166,1,1,53.34487181565489
2020-10-23,Napa,55.0,Yountville,17,,-122.36711000000001,38.396425,2.8332133440562166,1,1,118.01840624521057
2020-10-23,Lake,33.0,95458,17,,-122.78756000000001,39.06556,2.8332133440562166,1,1,67.99289579072948
2020-10-25,San Bernardino,71.0,Oro Grande,17,,-117.334167,34.598889,2.8332133440562166,1,1,184.59821182521154
2020-05-06,Kern,29.0,Taft,17,,-119.45638899999999,35.1425,2.8332133440562166,1,1,338.45500181763293
