name,longitude,latitude
Arco,-118.3462397,34.0574629
,-114.6240657,34.8509279
Bel-air Aisle 1,-121.532492,38.6423703
,-117.3017915,34.5462297
Shell,-122.0544194,37.5960692
,-118.4495056,35.1426378
Mobil,-118.3968057,34.150104
,-118.4136333,35.1272922
,-118.4346717,35.1302326
,-118.4462293,35.1316787
Circle K,-118.4441017,35.1313789
Shell,-118.3938419,34.1439396
Love's,-118.4082035,35.1255468
Mountain Village,-118.4526872,35.1323033
Chevron,-117.121237,32.7486859
,-121.2852131,38.8508395
Shell,-121.7691127,36.2359309
Chevron,-117.2417008,33.1456854
Costco Gasoline,-122.1831033,37.7207644
Arco,-118.1749705,35.0578262
,-118.1729185,35.0514223
,-118.1716602,35.0474725
,-118.1777165,35.0671827
Shell,-118.1737649,35.0544543
Jawbone Canyon Store,-118.0062137,35.2958928
,-122.4160945,37.6287118
,-117.689087,35.5942695
,-117.6742972,35.6046899
Shell,-121.8584765,39.7309196
Don's Gas / Market,-118.9450593,34.821477
Chevron,-118.0466485,34.0625222
Arco,-118.0421249,34.0625345
Valero,-122.44452,37.798587
Chevron,-122.4309646,37.8007618
Shell,-122.431458,37.800661
76,-122.4223977,37.742133
,-116.0751616,35.2646088
76,-121.2717773,38.729761
Chevron,-121.3085739,38.7442197
Shell,-118.1186898,34.0623243
76,-121.2651726,38.7814353
,-116.2089767,35.1326722
,-115.7440683,34.5586087
,-117.1385517,32.7555415
,-117.1391387,32.755562
Arco,-122.0118423,37.5610557
76,-122.0124283,37.5605711
Chevron,-122.011577,37.5601246
Mobil,-118.4429028,33.9565385
76,-121.3648969,36.4502893
Shell,-118.313201,34.0983692
Double AA,-122.4719702,37.7162023
Redmond 76,-121.8849326,37.2284672
76,-122.5183616,37.9253994
Chevron,-122.5163556,37.9295898
Kwik-Serv,-122.5228299,37.925658
Chevron,-122.5209583,37.945619
Shell,-122.520049,37.9452932
,-120.055866,36.9547275
76,-122.2452647,37.8100468
San Benito Petroleum,-121.3992661,36.8532282
,-122.0902755,37.0899446
,-121.9566804,37.248405
Chevron,-121.9627423,37.2352912
76,-122.0643709,37.6069005
Chevron,-122.0658567,37.6084945
76,-122.0446053,37.6281853
National Petroleum,-122.0699495,37.5902123
Chevron,-122.0702963,37.5896437
Chevron,-118.145967,33.9972573
Valero,-118.3270118,34.0830793
USA Gasoline,-117.1404907,33.5501123
USA Gasoline,-117.141188,33.551304
76,-121.8464093,37.2502768
Chevron,-117.9079822,34.1219693
,-117.9071523,34.1212716
Shell,-117.2133298,33.1678843
Marina,-122.1600633,37.7134764
Valero,-122.1620765,37.7126106
Steve's,-121.2358616,38.7904334
,-117.6598901,33.8786029
,-117.659241,33.8787298
Shell,-122.078148,37.6312518
76,-122.0761998,37.6315518
Chevron,-122.0976015,37.6329027
Valero,-122.0977716,37.6335028
76,-122.1016365,37.6385399
7-Eleven,-121.3824502,38.6905512
76,-121.3823891,38.6689823
Shell,-121.3824927,38.7037554
,-117.6802624,34.0188194
Shell,-122.198848,37.7334999
Shell,-121.8609491,37.3042699
,-122.287783,37.530541
DoubleTime,-122.2711024,37.5173892
AAFES Express,-121.8064626,36.6449389
Shell,-121.7753829,36.6647166
,-117.5925491,34.0187781
,-117.5928668,34.0195152
,-122.1799657,37.7054224
,-117.5765819,34.0477327
Valero,-121.7844951,36.6801163
Arco,-121.9038571,37.2323423
76,-122.2769831,37.5192008
,-121.7762363,37.2269391
Chevron,-121.9565923,38.5303817
