date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat
2020-10-23,San Luis Obispo,79.0,Avila,9,,-120.720833,35.199167,2.1972245773362196,1,1
2020-10-25,Plumas,63.0,Northern area,9,,-120.951389,40.14,2.1972245773362196,1,1
2020-04-21,Ventura,111.0,Fillmore,9,,-118.933112,34.401069,2.1972245773362196,1,1
2020-10-25,Los Angeles,37.0,Westhills,9,,-118.661948,34.192708,2.1972245773362196,1,1
2020-10-22,Del Norte,15.0,Hiouchi-Gasquet-Big Flat,9,,-124.071944,41.7925,2.1972245773362196,1,1
2020-10-25,Los Angeles,37.0,Westfield/Academy Hills,9,,-118.356806,33.776376,2.1972245773362196,1,1
2020-10-25,Kern,29.0,93527: Inyokern,9,,-117.805113,35.640156,2.1972245773362196,1,1
2020-10-25,San Diego,73.0,Boulevard,9,,-116.286294,32.663632,2.1972245773362196,1,1
2020-06-16,Marin,41.0,Lucas Valley-Marinwood,10,,-122.565905,38.035712,2.302585092994046,1,1
2020-10-25,Kern,29.0,93283: Weldon,10,,-118.384148,35.64363200000001,2.302585092994046,1,1
2020-10-25,San Bernardino,71.0,Newberry Springs,10,,-116.6875,34.827778,2.302585092994046,1,1
2020-10-25,Los Angeles,37.0,Bouquet Canyon,10,,-118.363392,34.595496999999995,2.302585092994046,1,1
2020-05-06,Kern,29.0,Lost Hills,10,,-119.694167,35.616389,2.302585092994046,1,1
2020-10-25,San Diego,73.0,Descanso,11,,-116.615833,32.852778,2.3978952727983707,1,1
2020-10-23,Sonoma,97.0,Bodega Bay,11,,-123.03861100000002,38.324444,2.3978952727983707,1,1
2020-10-07,Long Beach,,90840: Long Beach,11,,-118.120082,33.781865,2.3978952727983707,1,1
2020-10-25,Los Angeles,37.0,Saugus/Canyon Country,11,,-118.430213,34.47789,2.3978952727983707,1,1
2020-10-25,Los Angeles,37.0,San Pasqual,11,,-118.102533,34.139229,2.3978952727983707,1,1
2020-10-23,Fresno,19.0,Prather,11,,-119.513889,37.0375,2.3978952727983707,1,1
2020-10-25,San Diego,73.0,Santa Ysabel,12,,-116.673979,33.108888,2.4849066497880004,1,1
2020-04-02,Orange,59.0,Corona Del Mar,12,,-117.900759,33.602251,2.4849066497880004,1,1
2020-10-25,Alameda,1.0,Sunol,12,,-121.888611,37.594444,2.4849066497880004,1,1
2020-10-25,San Bernardino,71.0,Landers,12,,-116.392222,34.266110999999995,2.4849066497880004,1,1
2020-10-25,San Bernardino,71.0,Twin Peaks,12,,-117.233611,34.238889,2.4849066497880004,1,1
2020-10-25,Los Angeles,37.0,Rolling Hills,12,,-118.347168,33.760022,2.4849066497880004,1,1
2020-04-21,Ventura,111.0,Oak Park,12,,-118.759551,34.174226000000004,2.4849066497880004,1,1
2020-10-25,Los Angeles,37.0,Vernon,13,,-118.210583,34.001902,2.5649493574615367,1,1
2020-10-23,Napa,55.0,Angwin,13,,-122.449988,38.57722800000001,2.5649493574615367,1,1
2020-10-23,Napa,55.0,West Napa and Yountville Area,13,,-122.38077,38.363302,2.5649493574615367,1,1
2020-06-09,Tulare,107.0,Strathmore,13,,-119.059692,36.14489,2.5649493574615367,1,1
2020-09-16,Napa,55.0,Town of Yountville,13,,-122.36711,38.396425,2.5649493574615367,1,1
2020-10-23,San Mateo,81.0,Montara,13,,-122.51181499999998,37.540905,2.5649493574615367,1,1
2020-10-23,Nevada,57.0,95975,13,,-121.148416,39.229086,2.5649493574615367,1,1
2020-10-23,Marin,41.0,Sleepy Hollow,13,,-122.588172,38.01005900000001,2.5649493574615367,1,1
2020-10-25,San Bernardino,71.0,Baker,14,,-116.065833,35.275833,2.6390573296152584,1,1
2020-10-25,Tulare,107.0,Orosi: 93654,14,,-119.394714,36.64647,2.6390573296152584,1,1
2020-10-25,Contra Costa,13.0,Bethel Island,14,,-121.640556,38.015,2.6390573296152584,1,1
2020-08-25,Mono,51.0,North & Central,14,,-119.009312,38.016591,2.6390573296152584,1,1
2020-10-23,Sonoma,97.0,Fulton,14,,-122.77,38.496389,2.6390573296152584,1,1
2020-10-25,San Bernardino,71.0,Trona,14,,-117.382778,35.765278,2.6390573296152584,1,1
2020-06-23,Calaveras,9.0,Valley Springs,14,,-120.829167,38.191667,2.6390573296152584,1,1
2020-10-25,Los Angeles,37.0,Unincorporated - Glendora,14,,-117.848888,34.15532,2.6390573296152584,1,1
2020-10-23,Nevada,57.0,96160,14,,-120.18044,39.329874,2.6390573296152584,1,1
2020-10-25,San Bernardino,71.0,Yermo,14,,-116.820278,34.905,2.6390573296152584,1,1
2020-10-25,Los Angeles,37.0,Twin Lakes/Oat Mountain,15,,-118.610637,34.31406,2.70805020110221,1,1
2020-05-25,Marin,41.0,San Anselmo and Fairfax,15,,-122.561667,37.974722,2.70805020110221,1,1
2020-10-25,Los Angeles,37.0,Southeast Antelope Valley,15,,-118.032536,34.526511,2.70805020110221,1,1
2020-10-25,Los Angeles,37.0,Roosevelt,15,,-117.961701,34.733315000000005,2.70805020110221,1,1
2020-08-17,Long Beach,,90755: Long Beach,15,,-118.168691,33.801783,2.70805020110221,1,1
2020-10-25,Kern,29.0,93243: Lebec,15,,-118.934489,34.840174,2.70805020110221,1,1
2020-10-25,Los Angeles,37.0,Hidden Hills,15,,-118.661203,34.163749,2.70805020110221,1,1
2020-05-06,Kern,29.0,Tehachapi,15,,-118.448889,35.132222,2.70805020110221,1,1
